setup_hour,trades,wins,losses,winrate,profit,roi,profit_factor
,0,0,0,0.0,0.0,0.0,0.0
balanced_rebound | H0,40,22,18,55.0,0.84,2.1,1.05
balanced_rebound | H1,55,29,26,52.73,-1.09,-1.98,0.96
balanced_rebound | H10,45,19,26,42.22,-8.65,-19.22,0.65
balanced_rebound | H11,41,20,21,48.78,-3.74,-9.12,0.82
balanced_rebound | H12,47,22,25,46.81,-6.07,-12.91,0.76
balanced_rebound | H13,41,22,19,53.66,-0.01,-0.02,1.0
balanced_rebound | H14,65,26,39,40.0,-15.7,-24.15,0.59
balanced_rebound | H15,48,26,22,54.17,2.33,4.85,1.12
balanced_rebound | H16,51,29,22,56.86,5.03,9.86,1.25
balanced_rebound | H17,53,37,16,69.81,14.84,28.0,1.93
balanced_rebound | H18,44,20,24,45.45,-6.75,-15.34,0.72
balanced_rebound | H19,47,25,22,53.19,0.5,1.06,1.02
balanced_rebound | H2,57,23,34,40.35,-14.33,-25.14,0.58
balanced_rebound | H20,44,21,23,47.73,-5.03,-11.43,0.78
balanced_rebound | H21,43,13,30,30.23,-18.86,-43.86,0.37
balanced_rebound | H22,31,20,11,64.52,6.01,19.39,1.55
balanced_rebound | H23,33,18,15,54.55,0.4,1.21,1.03
balanced_rebound | H3,60,23,37,38.33,-16.28,-27.13,0.55
balanced_rebound | H4,56,26,30,46.43,-7.62,-13.61,0.75
balanced_rebound | H5,30,13,17,43.33,-5.85,-19.5,0.66
balanced_rebound | H6,57,33,24,57.89,4.27,7.49,1.18
balanced_rebound | H7,53,26,27,49.06,-3.61,-6.81,0.86
balanced_rebound | H8,14,6,8,42.86,-0.83,-5.93,0.86
balanced_rebound | H9,70,32,38,45.71,-9.38,-13.4,0.75
extreme_reversion | H0,104,57,47,54.81,3.03,2.91,1.07
extreme_reversion | H1,58,28,30,48.28,-5.97,-10.29,0.8
extreme_reversion | H10,89,48,41,53.93,2.28,2.56,1.06
extreme_reversion | H11,46,26,20,56.52,2.42,5.26,1.12
extreme_reversion | H12,74,39,35,52.7,-1.48,-2.0,0.96
extreme_reversion | H13,116,55,61,47.41,-11.66,-10.05,0.8
extreme_reversion | H14,74,26,48,35.14,-23.69,-32.01,0.49
extreme_reversion | H15,145,76,69,52.41,-2.75,-1.9,0.96
extreme_reversion | H16,85,40,45,47.06,-10.54,-12.4,0.77
extreme_reversion | H17,73,38,35,52.05,-0.42,-0.58,0.99
extreme_reversion | H18,108,57,51,52.78,0.1,0.09,1.0
extreme_reversion | H19,65,33,32,50.77,-2.59,-3.98,0.92
extreme_reversion | H2,100,54,46,54.0,0.31,0.31,1.01
extreme_reversion | H20,99,40,59,40.4,-22.52,-22.75,0.6
extreme_reversion | H21,68,36,32,52.94,2.0,2.94,1.07
extreme_reversion | H22,30,16,14,53.33,-0.24,-0.8,0.98
extreme_reversion | H23,41,23,18,56.1,1.75,4.27,1.1
extreme_reversion | H3,99,45,54,45.45,-15.45,-15.61,0.71
extreme_reversion | H4,72,31,41,43.06,-14.33,-19.9,0.65
extreme_reversion | H5,64,29,35,45.31,-9.97,-15.58,0.72
extreme_reversion | H6,116,54,62,46.55,-14.74,-12.71,0.76
extreme_reversion | H7,92,51,41,55.43,3.95,4.29,1.1
extreme_reversion | H8,88,50,38,56.82,7.14,8.11,1.2
extreme_reversion | H9,187,75,112,40.11,-45.7,-24.44,0.58
