setup,strategy_version,window,hours,trades,wins,losses,winrate,profit,roi,profit_factor
extreme_reversion,v4_ema20,ER_NEG_20,20:00,33,11,22,33.33,-11.49,-34.82,0.45
extreme_reversion,v3_cooldown,ER_NEG_14,14:00,55,19,36,34.55,-17.67,-32.13,0.48
balanced_rebound,v4_ema20,BR_NEG_02_03,02:00-03:00,67,24,43,35.82,-21.45,-32.01,0.49
extreme_reversion,v4_ema20,ER_NEG_14,14:00,19,7,12,36.84,-6.02,-31.68,0.5
balanced_rebound,v4_ema20,BR_NEG_20_21,20:00-21:00,49,19,30,38.78,-13.75,-28.06,0.54
extreme_reversion,v4_ema20,ER_NEG_09,09:00,75,29,46,38.67,-20.14,-26.85,0.55
balanced_rebound,v3_cooldown,BR_NEG_20_21,20:00-21:00,38,15,23,39.47,-10.14,-26.68,0.56
extreme_reversion,v3_cooldown,ER_NEG_09,09:00,112,46,66,41.07,-25.56,-22.82,0.61
balanced_rebound,v3_cooldown,BR_NEG_02_03,02:00-03:00,50,22,28,44.0,-9.16,-18.32,0.67
extreme_reversion,v3_cooldown,ER_NEG_20,20:00,66,29,37,43.94,-11.03,-16.71,0.69
